Measure Mode: wall_time
Thread ID: 47046120247500
Fiber ID: 47046130648440
Total: 93.356253
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02      0.048     0.017     0.000     0.031     9867   ActiveRecord::Persistence#destroyed?
  0.02      0.017     0.017     0.000     0.000    13423   ActiveRecord::ExplainSubscriber#start
  0.02      1.123     0.017     0.000     1.107     4776   ActiveRecord::PredicateBuilder#build_from_hash
  0.02      1.830     0.017     0.000     1.813     3504   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectStatement
  0.02      0.017     0.017     0.000     0.000    30797   Fixnum#-
  0.02      0.193     0.017     0.000     0.176     6523   ActiveRecord::Associations::SingularAssociation#reader
  0.02      0.118     0.017     0.000     0.102    13064   ActiveRecord::Type::Internal::Timezone#is_utc?
  0.02      1.768     0.016     0.000     1.752     3502   ActiveRecord::QueryMethods#where
  0.02     42.324     0.016     0.000    42.307     3341   ActiveRecord::Associations::HasManyAssociation#concat_records
  0.02     17.298     0.016     0.000    17.281     3502   ActiveRecord::FinderMethods#find_take
  0.02      0.020     0.016     0.000     0.004     3520   Arel::SelectManager#from
  0.02      0.029     0.016     0.000     0.013     6360   ActiveModel::ForbiddenAttributesProtection#sanitize_for_mass_assignment
  0.02      0.023     0.016     0.000     0.007    16880   ActiveRecord::Reflection::AssociationReflection#polymorphic?
  0.02      0.035     0.016     0.000     0.019     6689   Hash#default_proc=
  0.02      0.136     0.016     0.000     0.121     6523   ActiveRecord::Associations::Association#load_target
  0.02      0.042     0.016     0.000     0.026     6714   ActiveRecord::ConnectionAdapters::AbstractAdapter#without_prepared_statement?
  0.02      0.016     0.016     0.000     0.000     8788   Array#|
  0.02      0.374     0.016     0.000     0.359     6376   ActiveRecord::ConnectionAdapters::PostgreSQL::Quoting#quoted_date
  0.02      0.821     0.016     0.000     0.805     3180   TermlistPath#autosave_associated_records_for_path
  0.02      0.015     0.015     0.000     0.000     2603   Module#instance_method
  0.02      0.039     0.015     0.000     0.024     6744   ActiveSupport::TimeWithZone#initialize
  0.02      0.015     0.015     0.000     0.000    13096   ActiveSupport::TimeWithZone#utc
  0.02      0.035     0.015     0.000     0.019     6233   <Module::Arel::Nodes>#build_quoted
  0.02     11.331     0.015     0.000    11.316     3180   ActiveRecord::ConnectionAdapters::AbstractAdapter#insert
  0.02     19.106     0.015     0.000    19.091     3502   ActiveRecord::Relation#find_or_create_by
  0.02      0.080     0.015     0.000     0.065    10152   ActiveSupport::Callbacks::CallbackSequence#final?
  0.02      0.015     0.015     0.000     0.000    11558   <Class::ActiveRecord::DynamicMatchers::Method>#pattern
  0.02      0.185     0.015     0.000     0.170     3344   ActiveRecord::Transactions#has_transactional_callbacks?
  0.02     40.034     0.015     0.000    40.019     3180   ActiveRecord::Associations::HasManyThroughAssociation#insert_record
  0.02     19.091     0.015     0.000    19.076     3502   ActiveRecord::FinderMethods#find_by
  0.02      0.015     0.015     0.000     0.000     4806   String#to_sym
  0.02      0.105     0.015     0.000     0.090     7970   ActiveRecord::QueryMethods#references_values=
  0.02      0.071     0.015     0.000     0.056    12752   Time#usec
  0.02      0.642     0.015     0.000     0.627     4777   ActiveRecord::Delegation#connection
  0.02      0.117     0.015     0.000     0.102     1678  *Array#reverse_each
  0.02      0.100     0.015     0.000     0.086     4776   ActiveRecord::PredicateBuilder#convert_dot_notation_to_hash
  0.02      0.042     0.015     0.000     0.027    10339   ActiveRecord::Reflection::AbstractReflection#primary_key
  0.02      0.048     0.015     0.000     0.033    13046   ActiveModel::Type::Helpers::Numeric#changed?
  0.02      0.015     0.015     0.000     0.000     1059   <Class::Dir>#[]
  0.02      0.309     0.015     0.000     0.294     5781   ActiveRecord::DynamicMatchers#respond_to_missing?
  0.02      0.038     0.015     0.000     0.023    19422   ActiveModel::Type::Value#changed?
  0.02     67.826     0.015     0.000    67.812     6685  *ActiveRecord::Transactions::ClassMethods#transaction
  0.02      0.316     0.015     0.000     0.301     7790   ActiveRecord::SpawnMethods#spawn
  0.02      0.202     0.015     0.000     0.188     3371   ActiveRecord::Associations::CollectionAssociation#reader
  0.02     11.316     0.015     0.000    11.301     3180   ActiveRecord::ConnectionAdapters::DatabaseStatements#insert
  0.02      0.015     0.015     0.000     0.000     3871   <Class::File>#extname
  0.02     67.966     0.015     0.000    67.951     3341   ActiveRecord::Associations::CollectionAssociation#concat
  0.02      0.015     0.015     0.000     0.000    23408   Hash#blank?
  0.02      0.325     0.015     0.000     0.311     4710   ActiveRecord::Inheritance::ClassMethods#discriminate_class_for_record
  0.02      0.049     0.014     0.000     0.034     6217   Arel::Predications#quoted_node
  0.02      0.014     0.014     0.000     0.000     6608   String#=~
  0.02      0.027     0.014     0.000     0.013     6400   #<ActiveModel::Type::Helpers::AcceptsMultiparameterTime:0x00559391b5e918>#assert_valid_value
  0.02      6.318     0.014     0.000     6.304     3180   ActiveRecord::Inheritance::ClassMethods#new
  0.02      0.167     0.014     0.000     0.153     3839   ActiveRecord::Reflection::ThroughReflection#collect_join_reflections
  0.02      0.619     0.014     0.000     0.605     4710   ActiveRecord::Core::ClassMethods#allocate
  0.02      0.014     0.014     0.000     0.000    19815   Numeric#eql?
  0.02      0.075     0.014     0.000     0.061    13154   ActiveRecord::AttributeMethods#attribute_method?
  0.02      0.288     0.014     0.000     0.273     3180   ActiveModel::AttributeAssignment#_assign_attribute
  0.02      0.447     0.014     0.000     0.432     9703   ActiveRecord::Associations::Association#target=
  0.02      0.014     0.014     0.000     0.000    23151   ActiveRecord::ConnectionAdapters::TransactionState#finalized?
  0.02      0.080     0.014     0.000     0.066     3502   Arel::SelectManager#take
  0.02      0.214     0.014     0.000     0.200     4776   ActiveRecord::PredicateBuilder#resolve_column_aliases
  0.01      2.221     0.014     0.000     2.207     3344   ActiveModel::Validations#valid?
  0.01     18.619     0.014     0.000    18.605     3342   ActiveRecord::ConnectionAdapters::RealTransaction#commit
  0.01      0.361     0.014     0.000     0.347     3180   ActiveRecord::AttributeAssignment#_assign_attributes
  0.01      0.410     0.014     0.000     0.396     3521   Arel::Visitors::ToSql#visit_Arel_Nodes_Equality
  0.01      0.104     0.014     0.000     0.090     3504   ActiveRecord::QueryMethods#build_order
  0.01      0.172     0.013     0.000     0.159     4881   Enumerable#all?
  0.01      2.853     0.013     0.000     2.839     6700   Arel::Visitors::Reduce#accept
  0.01      0.013     0.013     0.000     0.000    13423   ActiveRecord::ExplainRegistry#collect?
  0.01      0.013     0.013     0.000     0.000     6700   Arel::Collectors::Composite#initialize
  0.01      6.101     0.013     0.000     6.088     2727   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#exec_cache
  0.01      0.142     0.013     0.000     0.129     3194   ActiveRecord::SpawnMethods#relation_with
  0.01      0.013     0.013     0.000     0.000    19786   ActiveModel::Type::Value#binary?
  0.01      0.013     0.013     0.000     0.000     6716   Arel::TreeManager#initialize
  0.01      0.338     0.013     0.000     0.325     3194   ActiveRecord::SpawnMethods#except
  0.01      0.266     0.013     0.000     0.253     6376   ActiveModel::Type::Helpers::TimeValue#user_input_in_time_zone
  0.01      0.390     0.013     0.000     0.376     2055   Bootsnap::CompileCache::ISeq::InstructionSequenceMixin#load_iseq
  0.01      0.066     0.013     0.000     0.053    12720   ActiveRecord::Associations::ThroughAssociation#through_association
  0.01      0.041     0.013     0.000     0.028     4777   ActiveRecord::TableMetadata#reflect_on_aggregation
  0.01      0.013     0.013     0.000     0.000     8081   ActiveModel::AttributeSet#initialize
  0.01      0.017     0.013     0.000     0.004     3519   Arel::TreeManager#where
  0.01      0.013     0.013     0.000     0.000     6700   Arel::Collectors::Bind#initialize
  0.01     18.257     0.013     0.000    18.245     3180   ActiveRecord::Base#_run_create_callbacks
  0.01      0.415     0.013     0.000     0.402     6360   ActiveRecord::Relation#where_values_hash
  0.01      0.559     0.013     0.000     0.546     4777   ActiveRecord::PredicateBuilder#build
  0.01      0.024     0.013     0.000     0.011     2892   String#gsub!
  0.01      0.215     0.013     0.000     0.202     4710   ActiveRecord::Inheritance::ClassMethods#using_single_table_inheritance?
  0.01      0.054     0.013     0.000     0.041     3344   ActiveRecord::Base#record_timestamps
  0.01      1.499     0.013     0.000     1.486     3180   ActiveModel::Dirty#changed_attributes
  0.01     18.270     0.013     0.000    18.257     3180   ActiveRecord::Callbacks#_create_record
  0.01      0.063     0.013     0.000     0.050    12720   ActiveRecord::AttributeMethods#pk_attribute?
  0.01      3.134     0.013     0.000     3.121     3194   ActiveRecord::Associations::ThroughAssociation#target_scope
  0.01      0.100     0.013     0.000     0.088     3344   ActiveModel::Errors#initialize
  0.01      0.200     0.013     0.000     0.187     4776   <Class::ActiveRecord::PredicateBuilder>#references
  0.01      0.269     0.013     0.000     0.256     6360   ActiveRecord::Reflection::ThroughReflection#nested?
  0.01      0.013     0.013     0.000     0.000     8177   Kernel#instance_of?
  0.01      2.307     0.012     0.000     2.295     3344   ActiveRecord::Validations#valid?
  0.01      0.315     0.012     0.000     0.302     6360   ActiveSupport::HashWithIndifferentAccess#to_hash
  0.01      0.012     0.012     0.000     0.000     3538   Hash#replace
  0.01      0.021     0.012     0.000     0.008     2727   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#sql_key
  0.01      0.021     0.012     0.000     0.008     3520   Arel::Nodes::SelectStatement#initialize
  0.01      0.044     0.012     0.000     0.032     6373   ActiveRecord::Associations::CollectionAssociation#null_scope?
  0.01      0.124     0.012     0.000     0.111     6376   Time#to_formatted_s
  0.01      2.099     0.012     0.000     2.087     3344   ActiveRecord::AttributeMethods::Dirty#keys_for_partial_write
  0.01      0.210     0.012     0.000     0.197     6376   #<Class:0x00559392367970>#cast
  0.01      0.012     0.012     0.000     0.000     5403   Array#compact!
  0.01      0.309     0.012     0.000     0.297     3180   ActiveRecord::Relation#scope_for_create
  0.01      0.095     0.012     0.000     0.083     5425   Arel::Predications#eq
  0.01      0.048     0.012     0.000     0.036     7006   ActiveRecord::QueryMethods#limit_value
  0.01      0.022     0.012     0.000     0.010     6523   ActiveRecord::Reflection::BelongsToReflection#association_class
  0.01      0.053     0.012     0.000     0.041     3342   ActiveRecord::ConnectionAdapters::Transaction#initialize
  0.01      0.046     0.012     0.000     0.034     3515   ActiveRecord::Sanitization::ClassMethods#sanitize_sql_for_conditions
  0.01      0.250     0.012     0.000     0.238     1569   ActiveRecord::QueryMethods#preprocess_order_args
  0.01      0.029     0.012     0.000     0.017     6523   ActiveRecord::Associations::BelongsToAssociation#reset
  0.01      0.012     0.012     0.000     0.000    13422   Float#+
  0.01      0.012     0.012     0.000     0.000     3655   <Class::File>#basename
  0.01      0.118     0.012     0.000     0.106     6744   DateAndTime::Zones#time_with_zone
  0.01      0.089     0.012     0.000     0.077     3504   Arel::Visitors::ToSql#visit_Arel_Nodes_JoinSource
  0.01      0.026     0.012     0.000     0.014     4054   Set#add
  0.01      6.342     0.012     0.000     6.330     3180   ActiveRecord::Associations::Association#build_record
  0.01      0.129     0.012     0.000     0.117     5939   ActiveModel::AttributeMutationTracker#initialize
  0.01      0.046     0.012     0.000     0.034     6400   #<Class:0x00559392367970>#assert_valid_value
  0.01      0.103     0.012     0.000     0.091     3826   ActiveRecord::QueryMethods#joins!
  0.01      0.205     0.012     0.000     0.193     3196   ActiveRecord::Timestamp#current_time_from_proper_timezone
  0.01      0.024     0.012     0.000     0.013     6376   #<Class:0x00559392367970>#binary?
  0.01      0.087     0.012     0.000     0.075     4710   ActiveModel::AttributeSet::Builder#build_from_database
  0.01      0.012     0.012     0.000     0.000     7139   Fixnum#div
  0.01      0.879     0.012     0.000     0.868     1274   ActiveRecord::Associations::AssociationScope#last_chain_scope
  0.01      0.319     0.012     0.000     0.307     3180   ActiveRecord::AttributeMethods#attributes_with_values_for_create
  0.01      0.169     0.012     0.000     0.158     6360   ActiveRecord::Associations::ThroughAssociation#source_reflection
  0.01      1.150     0.012     0.000     1.139     2727   PG::Connection#exec_prepared
  0.01      0.302     0.012     0.000     0.291     2580   Path#attach
  0.01      0.020     0.011     0.000     0.008     4710   <Module::ActiveRecord::LegacyYamlAdapter>#convert
  0.01      0.538     0.011     0.000     0.527     3180   ActiveRecord::Associations::BelongsToAssociation#replace
  0.01      0.011     0.011     0.000     0.000     8897   String#sub!
  0.01     68.256     0.011     0.000    68.245     3341   ActiveRecord::Associations::CollectionProxy#<<
  0.01      0.289     0.011     0.000     0.278     5779   <Class::ActiveRecord::DynamicMatchers::Method>#match
  0.01      0.011     0.011     0.000     0.000    21937   Hash#empty?
  0.01      0.143     0.011     0.000     0.132     6523   ActiveRecord::Associations::Association#invertible_for?
  0.01      0.062     0.011     0.000     0.050    11384  *ActiveRecord::ModelSchema::ClassMethods#ignored_columns
  0.01      0.169     0.011     0.000     0.158     4776   Hash#transform_keys!
  0.01      0.036     0.011     0.000     0.025     3413   Pathname#chop_basename
  0.01      0.062     0.011     0.000     0.051     6745   <Class::Time>#find_zone!
  0.01      0.204     0.011     0.000     0.192     3504   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectOptions
  0.01      0.015     0.011     0.000     0.004     1865   Module#define_method
  0.01      1.185     0.011     0.000     1.174     3344   ActiveModel::AttributeSet#map
  0.01      0.100     0.011     0.000     0.089     6523   ActiveRecord::Associations::Association#foreign_key_for?
  0.01      0.060     0.011     0.000     0.049     7796   ActiveRecord::Associations#association_instance_set
  0.01      0.052     0.011     0.000     0.041     6744   <Class::Time>#zone
  0.01      0.148     0.011     0.000     0.138     6688   ActiveModel::Errors#size
  0.01      0.087     0.011     0.000     0.076     3957   ActiveRecord::AttributeMethods::ClassMethods#has_attribute?
  0.01      0.078     0.011     0.000     0.067     2858   Bootsnap::LoadPathCache::Cache#find
  0.01      0.236     0.011     0.000     0.226     6360   ActiveRecord::AttributeMethods#attribute_present?
  0.01      0.079     0.011     0.000     0.068     6360   ActiveRecord::Relation::WhereClause#equalities
  0.01      0.019     0.011     0.000     0.008     6711   ActiveRecord::LogSubscriber#type_casted_binds
  0.01      0.189     0.011     0.000     0.178     6387   ActiveRecord::Reflection::AbstractReflection#chain
  0.01      0.390     0.011     0.000     0.379     4281  *Arel::Nodes::Binary#hash
  0.01      1.917     0.011     0.000     1.906     3344   ActiveModel::Validations#run_validations!
  0.01     21.346     0.011     0.000    21.336     3344   ActiveRecord::Callbacks#create_or_update
  0.01      0.024     0.011     0.000     0.013     6744   ActiveSupport::TimeWithZone#transfer_time_values_to_utc_constructor
  0.01      0.330     0.011     0.000     0.319     3708   ActiveModel::LazyAttributeHash#materialize
  0.01      0.011     0.011     0.000     0.000     6700   Arel::Collectors::PlainString#value
  0.01      0.507     0.011     0.000     0.496     3503   ActiveRecord::Relation::WhereClause#ast
  0.01      0.024     0.010     0.000     0.014     3341   ActiveRecord::Reflection::AbstractReflection#has_cached_counter?
  0.01      0.088     0.010     0.000     0.077     6688   ActiveModel::Errors#apply_default_array
  0.01      1.196     0.010     0.000     1.185     3344   ActiveModel::Dirty#forget_attribute_assignments
  0.01      0.022     0.010     0.000     0.012     4777   Draper::Decoratable::ClassMethods#===
  0.01     17.068     0.010     0.000    17.058     3502   ActiveRecord::Relation#load
  0.01      1.154     0.010     0.000     1.144     3344   Hash#transform_values
  0.01      0.056     0.010     0.000     0.046     3181   Hash#stringify_keys
  0.01      0.185     0.010     0.000     0.175     3196   ActiveRecord::Timestamp::ClassMethods#current_time_from_proper_timezone
  0.01      0.279     0.010     0.000     0.269     6360   ActiveRecord::Associations::ThroughAssociation#ensure_not_nested
  0.01      2.274     0.010     0.000     2.264     3504   ActiveRecord::QueryMethods#arel
  0.01      0.147     0.010     0.000     0.137     3180   ActiveRecord::AttributeMethods::PrimaryKey#id=
  0.01      0.146     0.010     0.000     0.136     3504   ActiveModel::Attribute#hash
  0.01      0.118     0.010     0.000     0.108     3520   ActiveRecord::Relation::QueryAttribute#nil?
  0.01      0.088     0.010     0.000     0.078     9540   ActiveSupport::HashWithIndifferentAccess#default
  0.01      0.101     0.010     0.000     0.091     3342   ActiveRecord::ConnectionAdapters::Transaction#commit_records
  0.01      0.136     0.010     0.000     0.126     3024   ActiveRecord::AttributeMethods::ClassMethods#instance_method_already_implemented?
  0.01      0.081     0.010     0.000     0.071     6523   ActiveRecord::AttributeMethods#has_attribute?
  0.01      0.010     0.010     0.000     0.000    19088   ActiveRecord::Reflection::BelongsToReflection#belongs_to?
  0.01      0.010     0.010     0.000     0.000    13423   Float#*
  0.01      0.015     0.010     0.000     0.005     4683  *ActiveModel::Attribute#original_value_for_database
  0.01      0.010     0.010     0.000     0.000     4199   BasicObject#singleton_method_added
  0.01      0.396     0.010     0.000     0.386     3515   ActiveRecord::Result#hash_rows
  0.01      0.032     0.010     0.000     0.022     6590   Concurrent::Collection::MriMapBackend#compute_if_absent
  0.01      0.057     0.010     0.000     0.047     4777   ActiveRecord::TableMetadata#associated_with?
  0.01      0.063     0.010     0.000     0.054     1274   ActiveRecord::Reflection::RuntimeReflection#aliased_table
  0.01      0.440     0.010     0.000     0.430     3193   ActiveRecord::Scoping::Default::ClassMethods#scope_attributes?
  0.01     17.307     0.010     0.000    17.298     3502   ActiveRecord::FinderMethods#take
  0.01      0.028     0.010     0.000     0.019     4777   ActiveRecord::Reflection::ClassMethods#reflect_on_aggregation
  0.01      1.978     0.010     0.000     1.968     3515   ActiveRecord::Result#each
  0.01      1.006     0.010     0.000     0.997     5408  *ActiveRecord::PredicateBuilder#expand_from_hash
  0.01      0.116     0.010     0.000     0.106     1498   ActiveRecord::AttributeMethods::Read#read_attribute
  0.01      0.785     0.010     0.000     0.775     4312  *Arel::Visitors::ToSql#inject_join
  0.01      0.061     0.010     0.000     0.051     3196   ActiveRecord::Locking::Optimistic::ClassMethods#locking_enabled?
  0.01      0.200     0.010     0.000     0.191     4776   ActiveRecord::TableMetadata#resolve_column_aliases
  0.01      0.130     0.009     0.000     0.121     3180   ActiveRecord::Timestamp#all_timestamp_attributes_in_model
  0.01      0.009     0.009     0.000     0.000     3365   <Class::ActiveRecord::Base>#lock_optimistically
  0.01      0.009     0.009     0.000     0.000        1   <Module::ObjectSpace>#each_object
  0.01      0.043     0.009     0.000     0.033     6624   Arel::Table#hash
  0.01      0.018     0.009     0.000     0.009     3180   Arel::Nodes::InsertStatement#initialize
  0.01      0.412     0.009     0.000     0.403     3180   ActiveRecord::ModelSchema::ClassMethods#prefetch_primary_key?
  0.01     17.077     0.009     0.000    17.068     3502   ActiveRecord::Relation#records
  0.01      0.010     0.009     0.000     0.001        1   PG::Connection#initialize
  0.01      0.009     0.009     0.000     0.000     6376   Time#getutc
  0.01      0.010     0.009     0.000     0.001     4710   ActiveRecord::ModelSchema::ClassMethods#yaml_encoder
  0.01      0.009     0.009     0.000     0.000       80   Kernel#caller
  0.01      0.031     0.009     0.000     0.022     4710   ActiveRecord::ModelSchema::ClassMethods#attributes_builder
  0.01      0.053     0.009     0.000     0.044     6688   ActiveModel::Errors#values
  0.01      0.540     0.009     0.000     0.531     3180   Arel::Visitors::ToSql#visit_Arel_Nodes_Values
  0.01      0.064     0.009     0.000     0.055      267   Racc::Parser#_racc_do_parse_c
  0.01      0.058     0.009     0.000     0.049     3344   <Class::ActiveRecord::SuppressorRegistry>#suppressed
  0.01      0.028     0.009     0.000     0.019     3503   Arel::Nodes::And#initialize
  0.01      0.093     0.009     0.000     0.084     3341   ActiveRecord::Associations::HasManyAssociation#update_counter_if_success
  0.01      0.063     0.009     0.000     0.054     7165   ActiveRecord::Reflection::AssociationReflection#check_validity!
  0.01      0.009     0.009     0.000     0.000     1916   Module#extend_object
  0.01      0.026     0.009     0.000     0.017     6376   #<Class:0x00559392367970>#changed?
  0.01      1.166     0.009     0.000     1.157     6523   ActiveModel::EachValidator#validate
  0.01      0.017     0.009     0.000     0.008     3812   ActiveSupport::Callbacks::Conditionals::Value#call
  0.01     20.967     0.009     0.000    20.958     3181   ActiveRecord::Persistence#save!
  0.01      0.076     0.009     0.000     0.067     3504   Arel::SelectManager#project
  0.01      0.012     0.009     0.000     0.003     4710   ActiveModel::AttributeSet::YAMLEncoder#decode
  0.01      0.009     0.009     0.000     0.000     2547   Class#inherited
  0.01      0.009     0.009     0.000     0.000     3402   Kernel#instance_variable_set
  0.01      0.028     0.009     0.000     0.019     3515   ActiveRecord::Result#length
  0.01      0.735     0.009     0.000     0.726     3344   ActiveRecord::AttributeMethods::Dirty#has_changes_to_save?
  0.01      0.009     0.009     0.000     0.000    16045   Bignum#<=>
  0.01      0.045     0.009     0.000     0.036     5568   ActiveRecord::Relation::WhereClause#+
  0.01      0.379     0.009     0.000     0.370     3210   Termlist::GeneratedAssociationMethods#paths
  0.01      0.009     0.009     0.000     0.000    12747   <Class::TermlistPath>#default_scope_override
  0.01      0.100     0.009     0.000     0.091      631   ActiveRecord::Reflection::ThroughReflection#check_validity!
  0.01      0.199     0.009     0.000     0.190     3180   Arel::Crud#compile_insert
  0.01      2.039     0.009     0.000     2.030     3344   ActiveModel::Validations::Callbacks#run_validations!
  0.01      0.156     0.009     0.000     0.147     4777   ActiveRecord::PredicateBuilder#handler_for
  0.01      0.014     0.009     0.000     0.005     3343   ActiveRecord::Associations::Association#options
  0.01      0.163     0.009     0.000     0.154     6688   ActiveModel::Errors#empty?
  0.01      0.032     0.009     0.000     0.023     6523   ActiveRecord::Associations::BelongsToAssociation#find_target?
  0.01      0.069     0.009     0.000     0.060     3503   <Module::Arel>#star
  0.01      0.501     0.009     0.000     0.492     3180   ActiveRecord::Scoping#initialize_internals_callback
  0.01      0.009     0.009     0.000     0.000     9573   Hash#default=
  0.01      0.042     0.009     0.000     0.033      792   ActiveRecord::QueryMethods#create_with!
  0.01      0.197     0.009     0.000     0.188     3504   Arel::Nodes::BindParam#hash
  0.01      0.073     0.009     0.000     0.065     3504   ActiveModel::Type::Value#hash
  0.01      0.009     0.009     0.000     0.000     3060   String#rindex
  0.01      0.050     0.008     0.000     0.041     4777   ActiveRecord::TableMetadata#aggregated_with?
  0.01      0.786     0.008     0.000     0.778     3503   Arel::Visitors::ToSql#visit_Arel_Nodes_And
  0.01      0.019     0.008     0.000     0.011     2875   Bootsnap::LoadPathCache::Cache#now
  0.01      0.022     0.008     0.000     0.013     2558   ActiveSupport::Inflector#inflections
  0.01      0.040     0.008     0.000     0.031     3503   ActiveRecord::QueryMethods#skip_query_cache_value
  0.01      0.008     0.008     0.000     0.000    12839   <Class::Path>#default_scope_override
  0.01      0.027     0.008     0.000     0.019     5466   ActiveRecord::ConnectionAdapters::StatementPool#cache
  0.01      0.008     0.008     0.000     0.000    27094   ActionDispatch::Routing::Mapper::Scope#frame
  0.01      0.178     0.008     0.000     0.169     4776   Hash#stringify_keys!
  0.01      0.179     0.008     0.000     0.170     3502   ActiveRecord::QueryMethods#limit
  0.01      0.139     0.008     0.000     0.130     4710   ActiveRecord::Base#_run_find_callbacks
  0.01      0.039     0.008     0.000     0.030     3502   <Class::ActiveModel::Attribute>#with_cast_value
  0.01      0.445     0.008     0.000     0.436     3503   ActiveRecord::Relation::WhereClause#predicates_with_wrapped_sql_literals
  0.01      0.008     0.008     0.000     0.000    15900   ActiveModel::Attribute#initialize_dup
  0.01      0.039     0.008     0.000     0.031      846   Enumerable#each_entry
  0.01      0.008     0.008     0.000     0.000     4784   ActiveRecord::Relation::WhereClauseFactory#initialize
  0.01      0.278     0.008     0.000     0.270     3194   ActiveRecord::Scoping::Named::ClassMethods#scope_for_association
  0.01      0.008     0.008     0.000     0.000     4085   ActionDispatch::Journey::Nodes::Node#initialize
  0.01     18.593     0.008     0.000    18.585     3342   ActiveRecord::ConnectionAdapters::PostgreSQL::DatabaseStatements#commit_db_transaction
  0.01      0.682     0.008     0.000     0.674     3180   ActiveSupport::HashWithIndifferentAccess#reverse_merge
  0.01      0.012     0.008     0.000     0.004     6523   ActiveModel::Validations::PresenceValidator#validate_each
  0.01      0.008     0.008     0.000     0.000     5190   Regexp#=~
  0.01      0.008     0.008     0.000     0.000     2000   <Class::File>#join
  0.01      0.042     0.008     0.000     0.034     3180   Arel::InsertManager#initialize
  0.01      2.318     0.008     0.000     2.311     3344   ActiveRecord::Validations#perform_validations
  0.01      0.034     0.008     0.000     0.027     3344   ActiveRecord::ConnectionAdapters::DatabaseStatements#transaction_state
  0.01      0.126     0.008     0.000     0.118     3520   Arel::Nodes::BindParam#nil?
  0.01      0.008     0.008     0.000     0.000     4148   String#to_i
  0.01      0.042     0.008     0.000     0.034     2467   ActiveModel::Type::String#cast_value
  0.01      0.623     0.008     0.000     0.616     3180   ActiveModel::AttributeMutationTracker#changed_values
  0.01      0.008     0.008     0.000     0.000     2196   NilClass#to_a
  0.01      5.393     0.008     0.000     5.385     3342   ActiveRecord::ConnectionAdapters::PostgreSQL::DatabaseStatements#begin_db_transaction
  0.01      0.008     0.008     0.000     0.000    13154   ActiveModel::AttributeMethods::ClassMethods::AttributeMethodMatcher::AttributeMethodMatch#attr_name
  0.01      6.330     0.008     0.000     6.322     3180   ActiveRecord::Reflection::AbstractReflection#build_association
  0.01      0.008     0.008     0.000     0.000     7254   Module#private_method_defined?
  0.01      0.416     0.008     0.000     0.409     3503   ActiveRecord::Relation::WhereClause#non_empty_predicates
  0.01      0.039     0.008     0.000     0.032     3180   ActiveRecord::Inheritance#initialize_internals_callback
  0.01      0.026     0.008     0.000     0.018     3502   ActiveRecord::QueryMethods#readonly_value
  0.01      2.972     0.008     0.000     2.964     3180   ActiveRecord::Associations::Association#scope_for_create
  0.01      0.008     0.008     0.000     0.000    19943   ActionDispatch::Journey::Visitors::FunctionalVisitor#terminal
  0.01      0.175     0.008     0.000     0.167     3839   ActiveRecord::Reflection::ThroughReflection#collect_join_chain
  0.01      0.116     0.008     0.000     0.108     3180   ActiveRecord::CounterCache#each_counter_cached_associations
  0.01      2.030     0.008     0.000     2.023     3344   ActiveRecord::Base#_run_validation_callbacks
  0.01      0.032     0.008     0.000     0.025     7796   ActiveRecord::Reflection::AssociationReflection#has_inverse?
  0.01      0.066     0.007     0.000     0.059     3342   ActiveRecord::ConnectionAdapters::Transaction#before_commit_records
  0.01      0.007     0.007     0.000     0.000    29335   BasicObject#equal?
  0.01     18.942     0.007     0.000    18.935     3342   ActiveRecord::ConnectionAdapters::TransactionManager#commit_transaction
  0.01      0.007     0.007     0.000     0.000     3529   <Module::ActiveRecord::Type>#default_value
  0.01      0.021     0.007     0.000     0.013      898   <Module::ActiveSupport::DescendantsTracker>#descendants
  0.01      0.007     0.007     0.000     0.000     3502   Arel::Visitors::ToSql#visit_Arel_Nodes_Top
  0.01      0.007     0.007     0.000     0.000    19027   ActionDispatch::Journey::Nodes::Cat#type
  0.01      0.065     0.007     0.000     0.058     3520   Array#reject!
  0.01      1.532     0.007     0.000     1.524     3180   ActiveModel::Dirty#changed?
  0.01      0.024     0.007     0.000     0.016     3711   ActiveRecord::ModelSchema::ClassMethods#_default_attributes
  0.01      0.028     0.007     0.000     0.021     3520   Arel::Nodes::JoinSource#initialize
  0.01      0.353     0.007     0.000     0.346     3544   ActiveModel::LazyAttributeHash#each_key
  0.01      0.007     0.007     0.000     0.000     6700   Arel::Collectors::Bind#value
  0.01      0.007     0.007     0.000     0.000        2   <Module::OpenSSL::PKCS5>#pbkdf2_hmac_sha1
  0.01      0.030     0.007     0.000     0.023     6067   ActiveRecord::AttributeMethods::ClassMethods#method_defined_within?
  0.01      0.012     0.007     0.000     0.005     3342   ActiveRecord::ConnectionAdapters::Transaction#commit
  0.01      0.015     0.007     0.000     0.008     3059   Kernel#Array
  0.01     42.196     0.007     0.000    42.189     3341   ActiveRecord::Associations::CollectionAssociation#concat_records
  0.01      0.119     0.007     0.000     0.111     3502   Arel::Visitors::ToSql#visit_Arel_Nodes_Limit
  0.01      0.007     0.007     0.000     0.000     8061   ActiveModel::Type::Value#serialize
