Measure Mode: wall_time
Thread ID: 47046120247500
Fiber ID: 47046130648440
Total: 93.356253
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.16      0.415     0.150     0.000     0.265    53243  *Kernel#public_send
  0.16      0.150     0.150     0.000     0.000    41059   String#hash
  0.16      0.582     0.149     0.000     0.434    71995   ActiveRecord::Reflection::ClassMethods#_reflect_on_association
  0.16      0.927     0.147     0.000     0.780    73968   ActiveModel::Type::Value#cast
  0.15      0.142     0.142     0.000     0.000    30426   <Module::Process>#pid
  0.15      0.140     0.140     0.000     0.000    16981   Array#push
  0.15      1.745     0.136     0.000     1.609    16726   ActiveRecord::Relation::Merger#merge_clauses
  0.14      1.014     0.135     0.000     0.878    86073   ActiveModel::AttributeSet#fetch_value
  0.14      0.134     0.134     0.000     0.000    13511   Thread::Backtrace::Location#lineno
  0.14      1.862     0.134     0.000     1.728    26803   Logger::LogDevice#write
  0.14      0.826     0.134     0.000     0.692    44847   Concurrent::Collection::NonConcurrentMapBackend#get_or_default
  0.14      0.326     0.131     0.000     0.195    19544  *Hash#each_pair
  0.14      0.157     0.131     0.000     0.026    26803   Logger#format_severity
  0.14      1.622     0.127     0.000     1.495    62488   ActiveModel::AttributeMutationTracker#changed?
  0.13      0.149     0.126     0.000     0.023    66769   Array#include?
  0.13     18.962     0.125     0.000    18.837    13423   ActiveSupport::Concurrency::ShareLock#yield_shares
  0.13     18.033     0.125     0.000    17.908    16939   ActiveSupport::Notifications::Fanout#finish
  0.13      0.123     0.123     0.000     0.000    24564   ActiveRecord::Relation#initialize
  0.13      0.417     0.121     0.000     0.297    90091   Concurrent::Map#[]
  0.13     41.598     0.120     0.000    41.478    16939  *ActiveSupport::Notifications::Instrumenter#instrument
  0.13      0.772     0.120     0.000     0.652    24953   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.13      0.145     0.119     0.000     0.026    74911  *ActiveRecord::AttributeMethods::PrimaryKey::ClassMethods#primary_key
  0.13     17.117     0.119     0.000    16.998    13423   ActiveSupport::Subscriber#finish
  0.13      0.118     0.118     0.000     0.000    93840   Kernel#block_given?
  0.13      0.118     0.118     0.000     0.000    13397   Float#to_s
  0.13     18.150     0.117     0.000    18.033    16939   ActiveSupport::Notifications::Instrumenter#finish_with_state
  0.12      0.169     0.117     0.000     0.052    26798   Logger::LogDevice#check_shift_log
  0.12      0.116     0.116     0.000     0.000    32425   String#inspect
  0.12      0.442     0.116     0.000     0.326    24956   <Class::ActiveRecord::Base>#connection_handler
  0.12      0.115     0.115     0.000     0.000     6905   Array#zip
  0.12      0.206     0.110     0.000     0.096    26792   ActiveSupport::LogSubscriber#color
  0.12      0.443     0.108     0.000     0.335    36008   ActiveRecord::Base#__callbacks
  0.12      1.131     0.108     0.000     1.023    19654   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#get_oid_type
  0.11      0.106     0.106     0.000     0.000    10721   Array#uniq
  0.11      0.528     0.105     0.000     0.423    25830   ActiveModel::Attribute#with_value_from_user
  0.11      2.883     0.105     0.000     2.777    24952   ActiveRecord::ConnectionHandling#retrieve_connection
  0.11      0.622     0.105     0.000     0.517    19786   ActiveRecord::ConnectionAdapters::Quoting#_type_cast
  0.11      0.279     0.105     0.000     0.174    57337  *ActiveSupport::HashWithIndifferentAccess#convert_value
  0.11      0.982     0.105     0.000     0.877    22601   ActiveSupport::HashWithIndifferentAccess#initialize
  0.11      0.103     0.103     0.000     0.000   363624   BasicObject#==
  0.11      0.505     0.103     0.000     0.402    32613   ActiveModel::Type::Helpers::Numeric#cast
  0.11      0.108     0.103     0.000     0.005    41978   ActiveRecord::Core::ClassMethods#arel_table
  0.11      0.103     0.103     0.000     0.000    27567   Array#length
  0.11      0.195     0.103     0.000     0.092    71882   ActiveRecord::Transactions#sync_with_transaction_state
  0.11      2.638     0.102     0.000     2.536    13253  *Enumerable#each_with_object
  0.11      0.180     0.101     0.000     0.079    13424   Numeric#quo
  0.11      0.282     0.101     0.000     0.181    24956   <Class::ActiveRecord::RuntimeRegistry>#connection_handler
  0.11      1.437     0.099     0.000     1.338    73321   ActiveRecord::AttributeMethods::Read#_read_attribute
  0.11      0.098     0.098     0.000     0.000    17335   Hash#keys
  0.11      0.135     0.098     0.000     0.036    40269   ActiveSupport::SubscriberQueueRegistry#get_queue
  0.11      0.233     0.098     0.000     0.135    73553   Arel::Collectors::Composite#<<
  0.10      0.584     0.097     0.000     0.487    40269   ActiveSupport::Subscriber#event_stack
  0.10      0.096     0.096     0.000     0.000    17863   Array#pop
  0.10      4.710     0.096     0.000     4.614    26802   Logger#debug
  0.10      0.234     0.094     0.000     0.140    26177   MonitorMixin#mon_try_enter
  0.10      0.336     0.094     0.000     0.242    52387   ActiveRecord::QueryMethods#where_clause
  0.10      1.316     0.093     0.000     1.222    36736   ActiveModel::Attribute#value_for_database
  0.10      0.093     0.093     0.000     0.000    46634   Kernel#instance_variable_defined?
  0.10      0.664     0.093     0.000     0.571    16726   ActiveRecord::Relation::Merger#merge_multi_values
  0.10      0.093     0.093     0.000     0.000    19806   Kernel#object_id
  0.10      2.264     0.092     0.000     2.172     3504   ActiveRecord::QueryMethods#build_arel
  0.10      3.034     0.092     0.000     2.942    12631   Enumerable#map
  0.10      0.408     0.091     0.000     0.318    27287  *ActiveRecord::Inheritance::ClassMethods#base_class
  0.10      0.892     0.091     0.000     0.801    23503   ActiveRecord::AttributeMethods#respond_to?
  0.10      0.091     0.091     0.000     0.000    65637   Arel::Visitors::Visitor#dispatch
  0.10      0.292     0.090     0.000     0.202    25781   ActiveSupport::HashWithIndifferentAccess#update
  0.10      0.245     0.090     0.000     0.155    13413   <Module::Rails>#root
  0.10      0.551     0.089     0.000     0.462    26819   ActiveSupport::Notifications::Event#duration
  0.10      1.728     0.089     0.000     1.640    26803   Logger#format_message
  0.09      0.296     0.088     0.000     0.208    24958   ActiveRecord::ConnectionAdapters::ConnectionHandler#owner_to_pool
  0.09      4.061     0.088     0.000     3.974    16726   ActiveRecord::Relation::Merger#merge
  0.09      0.087     0.087     0.000     0.000    13396   <Class::ActiveRecord::Base>#verbose_query_logs
  0.09      0.135     0.087     0.000     0.048    19786   ActiveRecord::LogSubscriber#render_bind
  0.09      0.339     0.087     0.000     0.252    13046   ActiveRecord::Associations::CollectionAssociation#callbacks_for
  0.09      0.258     0.086     0.000     0.172    13611   Pathname#to_s
  0.09      0.307     0.085     0.000     0.221    96681   Concurrent::Collection::NonConcurrentMapBackend#[]
  0.09      0.982     0.085     0.000     0.896    17428  *Enumerator#each
  0.09      0.495     0.085     0.000     0.410    24952   ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.09      0.986     0.084     0.000     0.901    24564  *ActiveRecord::Delegation::ClassMethods#create
  0.09     12.485     0.084     0.000    12.401    13396   ActiveRecord::LogSubscriber#debug
  0.09      0.150     0.083     0.000     0.067     7290   Hash#merge
  0.09      0.322     0.083     0.000     0.240    32444   ActiveRecord::QueryMethods#set_value
  0.09      0.082     0.082     0.000     0.000    32172   Hash#default
  0.09      0.678     0.082     0.000     0.596    20227   ActiveRecord::Associations#association
  0.09      0.198     0.081     0.000     0.116    23494  *ActiveRecord::ModelSchema::ClassMethods#attribute_types
  0.09      0.081     0.081     0.000     0.000   187973   Array#empty?
  0.09      0.698     0.080     0.000     0.618    38888   #<ActiveModel::Type::Helpers::AcceptsMultiparameterTime:0x00559391b5e918>#cast
  0.09      0.127     0.079     0.000     0.048   113658   BasicObject#!=
  0.09      0.444     0.079     0.000     0.365    32495   ActiveRecord::Reflection::ThroughReflection#through_reflection
  0.08      0.079     0.079     0.000     0.000    13477   Fixnum#fdiv
  0.08      1.346     0.079     0.000     1.267    24952   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.08      0.079     0.079     0.000     0.000    40881   ActiveSupport::Callbacks::Filters::Environment#halted
  0.08      0.079     0.079     0.000     0.000    64416   #<Class:0x00559392367970>#__getobj__
  0.08      1.826     0.078     0.000     1.748    16939   ActiveSupport::Notifications::Fanout#start
  0.08      0.312     0.078     0.000     0.234    26177   ActiveSupport::Concurrency::LoadInterlockAwareMonitor#mon_enter
  0.08      0.078     0.078     0.000     0.000    13664   Rails::Application#config
